year,latitude,longitude,crr
1996,36.0,45.0,42.714756
1996,36.0,45.25,28.173578
1996,36.0,45.5,29.453081
1996,36.0,45.75,29.453081
1996,36.0,46.0,32.64626
1996,36.0,46.25,18.620459
1996,36.0,46.5,18.620459
1996,36.0,46.75,19.559359
1996,36.0,47.0,13.35602
1996,36.0,47.25,15.200713
1996,36.0,47.5,14.968166
1996,36.0,47.75,14.968166
1996,36.0,48.0,15.185276
1996,36.0,48.25,16.921413
1996,36.0,48.5,16.921413
1996,36.0,48.75,16.461798
1996,36.0,49.0,20.847584
1996,36.0,49.25,20.424326
1996,36.0,49.5,8.504892
1996,36.0,49.75,8.504892
1996,36.0,50.0,28.000036
1996,36.0,50.25,15.446707
1996,36.0,50.5,16.714762
1996,36.0,50.75,16.714762
1996,36.0,51.0,11.719975
1996,35.75,45.0,44.62096
1996,35.75,45.25,40.81629
1996,35.75,45.5,28.987995
1996,35.75,45.75,28.987995
1996,35.75,46.0,34.82309
1996,35.75,46.25,17.72786
1996,35.75,46.5,17.72786
1996,35.75,46.75,21.17848
1996,35.75,47.0,15.1098385
1996,35.75,47.25,19.533966
1996,35.75,47.5,15.944669
1996,35.75,47.75,15.944669
1996,35.75,48.0,9.641986
1996,35.75,48.25,11.009882
1996,35.75,48.5,11.009882
1996,35.75,48.75,21.156069
1996,35.75,49.0,13.601768
1996,35.75,49.25,16.503632
1996,35.75,49.5,23.220118
1996,35.75,49.75,23.220118
1996,35.75,50.0,28.99123
1996,35.75,50.25,41.4731
1996,35.75,50.5,29.506369
1996,35.75,50.75,29.506369
1996,35.75,51.0,10.679734
1996,35.5,45.0,29.82406
1996,35.5,45.25,36.188232
1996,35.5,45.5,40.21052
1996,35.5,45.75,40.21052
1996,35.5,46.0,33.08297
1996,35.5,46.25,26.900036
1996,35.5,46.5,26.900036
1996,35.5,46.75,20.178822
1996,35.5,47.0,13.595541
1996,35.5,47.25,17.195297
1996,35.5,47.5,17.939747
1996,35.5,47.75,17.939747
1996,35.5,48.0,14.588471
1996,35.5,48.25,19.029282
1996,35.5,48.5,19.029282
1996,35.5,48.75,12.888188
1996,35.5,49.0,18.04083
1996,35.5,49.25,22.596676
1996,35.5,49.5,30.64869
1996,35.5,49.75,30.64869
1996,35.5,50.0,47.223045
1996,35.5,50.25,42.88582
1996,35.5,50.5,24.368412
1996,35.5,50.75,24.368412
1996,35.5,51.0,27.565567
1996,35.25,45.0,27.396997
1996,35.25,45.25,46.403908
1996,35.25,45.5,58.7832
1996,35.25,45.75,58.7832
1996,35.25,46.0,34.463066
1996,35.25,46.25,27.839937
1996,35.25,46.5,27.839937
1996,35.25,46.75,31.143661
1996,35.25,47.0,18.11876
1996,35.25,47.25,15.240058
1996,35.25,47.5,13.474289
1996,35.25,47.75,13.474289
1996,35.25,48.0,12.424338
1996,35.25,48.25,11.648013
1996,35.25,48.5,11.648013
1996,35.25,48.75,9.6004095
1996,35.25,49.0,10.138449
1996,35.25,49.25,9.398484
1996,35.25,49.5,13.902036
1996,35.25,49.75,13.902036
1996,35.25,50.0,23.864225
1996,35.25,50.25,11.973185
1996,35.25,50.5,11.973185
1996,35.25,50.75,12.92205
1996,35.25,51.0,12.621529
1996,35.0,45.0,27.900944
1996,35.0,45.25,37.66893
1996,35.0,45.5,40.08753
1996,35.0,45.75,40.08753
1996,35.0,46.0,40.87206
1996,35.0,46.25,27.427132
1996,35.0,46.5,27.427132
1996,35.0,46.75,39.748413
1996,35.0,47.0,21.982437
1996,35.0,47.25,22.854364
1996,35.0,47.5,26.652308
1996,35.0,47.75,26.652308
1996,35.0,48.0,18.145657
1996,35.0,48.25,11.162506
1996,35.0,48.5,11.162506
1996,35.0,48.75,12.1890545
1996,35.0,49.0,8.776532
1996,35.0,49.25,11.597969
1996,35.0,49.5,11.78919
1996,35.0,49.75,11.78919
1996,35.0,50.0,13.092848
1996,35.0,50.25,12.408901
1996,35.0,50.5,12.866528
1996,35.0,50.75,12.866528
1996,35.0,51.0,15.394424
1996,34.75,45.0,39.958298
1996,34.75,45.25,40.919365
1996,34.75,45.5,40.00363
1996,34.75,45.75,40.00363
1996,34.75,46.0,32.531227
1996,34.75,46.25,28.412346
1996,34.75,46.5,28.412346
1996,34.75,46.75,21.525793
1996,34.75,47.0,23.557993
1996,34.75,47.25,18.004978
1996,34.75,47.5,16.67767
1996,34.75,47.75,16.67767
1996,34.75,48.0,16.492174
1996,34.75,48.25,11.885545
1996,34.75,48.5,11.885545
1996,34.75,48.75,13.998884
1996,34.75,49.0,10.155134
1996,34.75,49.25,16.167257
1996,34.75,49.5,11.410991
1996,34.75,49.75,11.410991
1996,34.75,50.0,31.269146
1996,34.75,50.25,34.224285
1996,34.75,50.5,34.224285
1996,34.75,50.75,11.417715
1996,34.75,51.0,12.630246
1996,34.5,45.0,46.878212
1996,34.5,45.25,50.765545
1996,34.5,45.5,44.689175
1996,34.5,45.75,44.689175
1996,34.5,46.0,30.70097
1996,34.5,46.25,27.645983
1996,34.5,46.5,27.645983
1996,34.5,46.75,18.560202
1996,34.5,47.0,24.727196
1996,34.5,47.25,18.366749
1996,34.5,47.5,30.428593
1996,34.5,47.75,30.428593
1996,34.5,48.0,14.615106
1996,34.5,48.25,13.113514
1996,34.5,48.5,13.113514
1996,34.5,48.75,8.209603
1996,34.5,49.0,15.503476
1996,34.5,49.25,17.51772
1996,34.5,49.5,16.548693
1996,34.5,49.75,16.548693
1996,34.5,50.0,11.362188
1996,34.5,50.25,18.2684
1996,34.5,50.5,13.005713
1996,34.5,50.75,13.005713
1996,34.5,51.0,14.390284
1996,34.25,45.0,45.48466
1996,34.25,45.25,45.48466
1996,34.25,45.5,36.941914
1996,34.25,45.75,35.027004
1996,34.25,46.0,18.886112
1996,34.25,46.25,26.05949
1996,34.25,46.5,26.05949
1996,34.25,46.75,32.41943
1996,34.25,47.0,21.989649
1996,34.25,47.25,18.45837
1996,34.25,47.5,18.45837
1996,34.25,47.75,24.050726
1996,34.25,48.0,27.104214
1996,34.25,48.25,22.15946
1996,34.25,48.5,11.071132
1996,34.25,48.75,11.071132
1996,34.25,49.0,12.76544
1996,34.25,49.25,18.885624
1996,34.25,49.5,13.522593
1996,34.25,49.75,13.522593
1996,34.25,50.0,17.875505
1996,34.25,50.25,17.923561
1996,34.25,50.5,15.401144
1996,34.25,50.75,21.609718
1996,34.25,51.0,21.609718
1996,34.0,45.0,22.915615
1996,34.0,45.25,22.915615
1996,34.0,45.5,32.846943
1996,34.0,45.75,27.606655
1996,34.0,46.0,18.421274
1996,34.0,46.25,26.467068
1996,34.0,46.5,26.467068
1996,34.0,46.75,26.577866
1996,34.0,47.0,18.577635
1996,34.0,47.25,28.755445
1996,34.0,47.5,28.755445
1996,34.0,47.75,27.946991
1996,34.0,48.0,30.63001
1996,34.0,48.25,14.25235
1996,34.0,48.5,31.412561
1996,34.0,48.75,31.412561
1996,34.0,49.0,14.380577
1996,34.0,49.25,9.595676
1996,34.0,49.5,12.877733
1996,34.0,49.75,12.877733
1996,34.0,50.0,13.3888855
1996,34.0,50.25,15.543064
1996,34.0,50.5,7.5361123
1996,34.0,50.75,8.278817
1996,34.0,51.0,8.278817
1996,33.75,45.0,22.915615
1996,33.75,45.25,22.915615
1996,33.75,45.5,32.846943
1996,33.75,45.75,27.606655
1996,33.75,46.0,18.421274
1996,33.75,46.25,26.467068
1996,33.75,46.5,26.467068
1996,33.75,46.75,26.577866
1996,33.75,47.0,18.577635
1996,33.75,47.25,28.755445
1996,33.75,47.5,28.755445
1996,33.75,47.75,27.946991
1996,33.75,48.0,30.63001
1996,33.75,48.25,14.25235
1996,33.75,48.5,31.412561
1996,33.75,48.75,31.412561
1996,33.75,49.0,14.380577
1996,33.75,49.25,9.595676
1996,33.75,49.5,12.877733
1996,33.75,49.75,12.877733
1996,33.75,50.0,13.3888855
1996,33.75,50.25,15.543064
1996,33.75,50.5,7.5361123
1996,33.75,50.75,8.278817
1996,33.75,51.0,8.278817
1996,33.5,45.0,26.65704
1996,33.5,45.25,26.65704
1996,33.5,45.5,35.55609
1996,33.5,45.75,30.409174
1996,33.5,46.0,33.38074
1996,33.5,46.25,35.49658
1996,33.5,46.5,35.49658
1996,33.5,46.75,39.279358
1996,33.5,47.0,26.656288
1996,33.5,47.25,27.080807
1996,33.5,47.5,27.080807
1996,33.5,47.75,39.384644
1996,33.5,48.0,38.578953
1996,33.5,48.25,44.746696
1996,33.5,48.5,29.430176
1996,33.5,48.75,29.430176
1996,33.5,49.0,35.223206
1996,33.5,49.25,20.382736
1996,33.5,49.5,16.463793
1996,33.5,49.75,16.463793
1996,33.5,50.0,11.5780525
1996,33.5,50.25,6.8735747
1996,33.5,50.5,5.8231287
1996,33.5,50.75,8.064447
1996,33.5,51.0,8.064447
1996,33.25,45.0,26.480762
1996,33.25,45.25,26.480762
1996,33.25,45.5,44.548004
1996,33.25,45.75,46.214676
1996,33.25,46.0,29.300957
1996,33.25,46.25,28.279392
1996,33.25,46.5,28.279392
1996,33.25,46.75,35.374573
1996,33.25,47.0,49.169834
1996,33.25,47.25,38.542103
1996,33.25,47.5,38.542103
1996,33.25,47.75,43.66512
1996,33.25,48.0,48.662403
1996,33.25,48.25,41.730537
1996,33.25,48.5,36.87941
1996,33.25,48.75,36.87941
1996,33.25,49.0,24.569592
1996,33.25,49.25,20.494287
1996,33.25,49.5,26.575127
1996,33.25,49.75,26.575127
1996,33.25,50.0,11.642043
1996,33.25,50.25,9.920596
1996,33.25,50.5,13.967765
1996,33.25,50.75,8.647309
1996,33.25,51.0,8.647309
1996,33.0,45.0,25.929766
1996,33.0,45.25,25.929766
1996,33.0,45.5,46.661594
1996,33.0,45.75,49.01396
1996,33.0,46.0,43.22492
1996,33.0,46.25,29.235477
1996,33.0,46.5,29.235477
1996,33.0,46.75,34.85421
1996,33.0,47.0,49.199947
1996,33.0,47.25,51.40119
1996,33.0,47.5,51.40119
1996,33.0,47.75,53.844177
1996,33.0,48.0,55.36445
1996,33.0,48.25,56.953686
1996,33.0,48.5,52.440166
1996,33.0,48.75,52.440166
1996,33.0,49.0,35.829468
1996,33.0,49.25,30.741804
1996,33.0,49.5,15.743494
1996,33.0,49.75,15.743494
1996,33.0,50.0,6.533967
1996,33.0,50.25,7.822936
1996,33.0,50.5,8.10279
1996,33.0,50.75,8.3517685
1996,33.0,51.0,8.3517685
1996,32.75,45.0,18.546263
1996,32.75,45.25,18.546263
1996,32.75,45.5,38.812
1996,32.75,45.75,39.571636
1996,32.75,46.0,43.450253
1996,32.75,46.25,58.806095
1996,32.75,46.5,58.806095
1996,32.75,46.75,31.37272
1996,32.75,47.0,22.509783
1996,32.75,47.25,43.293396
1996,32.75,47.5,43.293396
1996,32.75,47.75,55.862164
1996,32.75,48.0,74.826965
1996,32.75,48.25,69.98605
1996,32.75,48.5,75.53207
1996,32.75,48.75,75.53207
1996,32.75,49.0,54.937443
1996,32.75,49.25,67.17408
1996,32.75,49.5,42.153805
1996,32.75,49.75,42.153805
1996,32.75,50.0,32.07311
1996,32.75,50.25,5.266906
1996,32.75,50.5,5.585351
1996,32.75,50.75,13.040565
1996,32.75,51.0,13.040565
1996,32.5,45.0,14.232925
1996,32.5,45.25,14.232925
1996,32.5,45.5,18.122997
1996,32.5,45.75,21.58257
1996,32.5,46.0,24.665943
1996,32.5,46.25,22.46023
1996,32.5,46.5,22.46023
1996,32.5,46.75,29.423214
1996,32.5,47.0,40.45204
1996,32.5,47.25,52.51113
1996,32.5,47.5,52.51113
1996,32.5,47.75,73.23176
1996,32.5,48.0,94.81511
1996,32.5,48.25,108.05287
1996,32.5,48.5,98.26993
1996,32.5,48.75,98.26993
1996,32.5,49.0,72.8436
1996,32.5,49.25,53.684803
1996,32.5,49.5,53.953236
1996,32.5,49.75,53.953236
1996,32.5,50.0,16.904236
1996,32.5,50.25,13.533542
1996,32.5,50.5,9.885239
1996,32.5,50.75,3.620152
1996,32.5,51.0,3.620152
1996,32.25,45.0,17.064587
1996,32.25,45.25,17.064587
1996,32.25,45.5,12.290385
1996,32.25,45.75,13.907015
1996,32.25,46.0,15.776606
1996,32.25,46.25,28.206696
1996,32.25,46.5,28.206696
1996,32.25,46.75,23.454414
1996,32.25,47.0,30.001337
1996,32.25,47.25,49.11678
1996,32.25,47.5,49.11678
1996,32.25,47.75,57.414787
1996,32.25,48.0,58.54467
1996,32.25,48.25,89.11346
1996,32.25,48.5,97.85241
1996,32.25,48.75,97.85241
1996,32.25,49.0,95.15523
1996,32.25,49.25,91.074425
1996,32.25,49.5,62.476315
1996,32.25,49.75,62.476315
1996,32.25,50.0,23.412592
1996,32.25,50.25,15.277403
1996,32.25,50.5,11.430907
1996,32.25,50.75,6.5723095
1996,32.25,51.0,6.5723095
1996,32.0,45.0,15.728558
1996,32.0,45.25,15.728558
1996,32.0,45.5,17.987549
1996,32.0,45.75,20.723093
1996,32.0,46.0,37.36543
1996,32.0,46.25,17.176374
1996,32.0,46.5,17.176374
1996,32.0,46.75,26.923943
1996,32.0,47.0,21.241968
1996,32.0,47.25,33.297836
1996,32.0,47.5,33.297836
1996,32.0,47.75,41.4477
1996,32.0,48.0,41.767902
1996,32.0,48.25,54.52364
1996,32.0,48.5,74.20578
1996,32.0,48.75,74.20578
1996,32.0,49.0,78.90902
1996,32.0,49.25,93.1676
1996,32.0,49.5,101.71359
1996,32.0,49.75,101.71359
1996,32.0,50.0,44.71283
1996,32.0,50.25,25.943207
1996,32.0,50.5,16.394825
1996,32.0,50.75,14.09176
1996,32.0,51.0,14.09176
1996,31.75,45.0,13.206382
1996,31.75,45.25,13.206382
1996,31.75,45.5,11.968458
1996,31.75,45.75,22.251835
1996,31.75,46.0,12.598623
1996,31.75,46.25,13.904025
1996,31.75,46.5,13.904025
