year,latitude,longitude,crr
1996,39.0,50.0,54.542923
1996,39.0,50.25,19.362514
1996,39.0,50.5,13.102422
1996,39.0,50.75,13.102422
1996,39.0,51.0,8.561415
1996,39.0,51.25,7.5265937
1996,39.0,51.5,7.5265937
1996,39.0,51.75,10.920908
1996,39.0,52.0,11.106838
1996,39.0,52.25,7.9817123
1996,39.0,52.5,7.9817123
1996,39.0,52.75,4.7138915
1996,39.0,53.0,8.0910425
1996,39.0,53.25,8.0910425
1996,39.0,53.5,5.981035
1996,39.0,53.75,7.9607353
1996,39.0,54.0,5.7690506
1996,39.0,54.25,5.7690506
1996,39.0,54.5,9.742115
1996,39.0,54.75,13.506372
1996,39.0,55.0,13.506372
1996,39.0,55.25,11.642356
1996,39.0,55.5,16.06291
1996,39.0,55.75,10.962857
1996,39.0,56.0,10.962857
1996,39.0,56.25,12.785874
1996,39.0,56.5,10.07837
1996,39.0,56.75,10.07837
1996,39.0,57.0,7.833927
1996,39.0,57.25,8.342753
1996,39.0,57.5,7.7694073
1996,39.0,57.75,7.7694073
1996,39.0,58.0,10.826199
1996,39.0,58.25,9.416349
1996,39.0,58.5,9.416349
1996,39.0,58.75,11.385557
1996,39.0,59.0,9.006361
1996,39.0,59.25,8.495943
1996,39.0,59.5,8.495943
1996,39.0,59.75,11.777114
1996,39.0,60.0,6.523871
1996,39.0,60.25,6.523871
1996,39.0,60.5,4.0213614
1996,39.0,60.75,3.8986816
1996,39.0,61.0,4.55593
1996,38.75,50.0,21.331724
1996,38.75,50.25,30.433443
1996,38.75,50.5,19.063131
1996,38.75,50.75,19.063131
1996,38.75,51.0,7.511337
1996,38.75,51.25,8.556328
1996,38.75,51.5,8.556328
1996,38.75,51.75,8.833472
1996,38.75,52.0,13.676086
1996,38.75,52.25,8.385344
1996,38.75,52.5,8.385344
1996,38.75,52.75,11.907737
1996,38.75,53.0,5.523376
1996,38.75,53.25,5.523376
1996,38.75,53.5,5.3444443
1996,38.75,53.75,6.8140416
1996,38.75,54.0,10.278911
1996,38.75,54.25,10.278911
1996,38.75,54.5,16.697598
1996,38.75,54.75,14.566618
1996,38.75,55.0,14.566618
1996,38.75,55.25,8.989515
1996,38.75,55.5,17.127924
1996,38.75,55.75,24.75687
1996,38.75,56.0,24.75687
1996,38.75,56.25,11.455797
1996,38.75,56.5,7.7621036
1996,38.75,56.75,7.7621036
1996,38.75,57.0,21.13722
1996,38.75,57.25,10.788057
1996,38.75,57.5,6.517832
1996,38.75,57.75,6.517832
1996,38.75,58.0,8.016032
1996,38.75,58.25,10.844313
1996,38.75,58.5,10.844313
1996,38.75,58.75,6.1246924
1996,38.75,59.0,12.515726
1996,38.75,59.25,7.44078
1996,38.75,59.5,7.44078
1996,38.75,59.75,5.1992
1996,38.75,60.0,5.856447
1996,38.75,60.25,5.856447
1996,38.75,60.5,3.700679
1996,38.75,60.75,6.185076
1996,38.75,61.0,4.814954
1996,38.5,50.0,28.254787
1996,38.5,50.25,19.245556
1996,38.5,50.5,22.043966
1996,38.5,50.75,22.043966
1996,38.5,51.0,16.447155
1996,38.5,51.25,10.999094
1996,38.5,51.5,10.999094
1996,38.5,51.75,9.989699
1996,38.5,52.0,15.568387
1996,38.5,52.25,8.885274
1996,38.5,52.5,8.885274
1996,38.5,52.75,8.215947
1996,38.5,53.0,6.8448696
1996,38.5,53.25,6.8448696
1996,38.5,53.5,5.771911
1996,38.5,53.75,9.212942
1996,38.5,54.0,9.363589
1996,38.5,54.25,9.363589
1996,38.5,54.5,8.758463
1996,38.5,54.75,12.626013
1996,38.5,55.0,12.626013
1996,38.5,55.25,37.09463
1996,38.5,55.5,33.180042
1996,38.5,55.75,14.215108
1996,38.5,56.0,14.215108
1996,38.5,56.25,17.083115
1996,38.5,56.5,17.610064
1996,38.5,56.75,17.610064
1996,38.5,57.0,23.282503
1996,38.5,57.25,14.318082
1996,38.5,57.5,18.973186
1996,38.5,57.75,18.973186
1996,38.5,58.0,4.7237415
1996,38.5,58.25,6.5734515
1996,38.5,58.5,6.5734515
1996,38.5,58.75,6.2038293
1996,38.5,59.0,7.096585
1996,38.5,59.25,6.22989
1996,38.5,59.5,6.22989
1996,38.5,59.75,5.8014655
1996,38.5,60.0,7.81867
1996,38.5,60.25,7.81867
1996,38.5,60.5,6.681192
1996,38.5,60.75,7.4881372
1996,38.5,61.0,6.6134987
1996,38.25,50.0,28.254787
1996,38.25,50.25,19.245556
1996,38.25,50.5,22.043966
1996,38.25,50.75,22.043966
1996,38.25,51.0,16.447155
1996,38.25,51.25,10.999094
1996,38.25,51.5,10.999094
1996,38.25,51.75,9.989699
1996,38.25,52.0,15.568387
1996,38.25,52.25,8.885274
1996,38.25,52.5,8.885274
1996,38.25,52.75,8.215947
1996,38.25,53.0,6.8448696
1996,38.25,53.25,6.8448696
1996,38.25,53.5,5.771911
1996,38.25,53.75,9.212942
1996,38.25,54.0,9.363589
1996,38.25,54.25,9.363589
1996,38.25,54.5,8.758463
1996,38.25,54.75,12.626013
1996,38.25,55.0,12.626013
1996,38.25,55.25,37.09463
1996,38.25,55.5,33.180042
1996,38.25,55.75,14.215108
1996,38.25,56.0,14.215108
1996,38.25,56.25,17.083115
1996,38.25,56.5,17.610064
1996,38.25,56.75,17.610064
1996,38.25,57.0,23.282503
1996,38.25,57.25,14.318082
1996,38.25,57.5,18.973186
1996,38.25,57.75,18.973186
1996,38.25,58.0,4.7237415
1996,38.25,58.25,6.5734515
1996,38.25,58.5,6.5734515
1996,38.25,58.75,6.2038293
1996,38.25,59.0,7.096585
1996,38.25,59.25,6.22989
1996,38.25,59.5,6.22989
1996,38.25,59.75,5.8014655
1996,38.25,60.0,7.81867
1996,38.25,60.25,7.81867
1996,38.25,60.5,6.681192
1996,38.25,60.75,7.4881372
1996,38.25,61.0,10.798229
1996,38.0,50.0,13.651934
1996,38.0,50.25,30.717258
1996,38.0,50.5,10.411125
1996,38.0,50.75,10.411125
1996,38.0,51.0,13.267052
1996,38.0,51.25,11.188195
1996,38.0,51.5,9.327677
1996,38.0,51.75,9.327677
1996,38.0,52.0,14.378155
1996,38.0,52.25,15.091656
1996,38.0,52.5,15.091656
1996,38.0,52.75,10.038321
1996,38.0,53.0,8.972039
1996,38.0,53.25,9.33626
1996,38.0,53.5,7.4169436
1996,38.0,53.75,7.4169436
1996,38.0,54.0,9.6509
1996,38.0,54.25,10.644405
1996,38.0,54.5,7.8959
1996,38.0,54.75,7.8959
1996,38.0,55.0,20.125284
1996,38.0,55.25,14.477945
1996,38.0,55.5,14.059698
1996,38.0,55.75,14.059698
1996,38.0,56.0,18.04706
1996,38.0,56.25,18.507265
1996,38.0,56.5,20.640787
1996,38.0,56.75,20.640787
1996,38.0,57.0,18.93918
1996,38.0,57.25,11.499655
1996,38.0,57.5,9.932804
1996,38.0,57.75,9.932804
1996,38.0,58.0,13.831817
