time	latitude	longitude	crr	spatial_ref
1996-12-31	38.5	55.25	2.0608125	0.0
1996-12-31	38.5	55.5	1.8433359	0.0
1996-12-31	38.5	55.75	0.7897282	0.0
1996-12-31	38.5	56.0	0.7897282	0.0
1996-12-31	38.5	56.25	0.94906205	0.0
1996-12-31	38.5	56.5	0.97833633	0.0
1996-12-31	38.5	56.75	0.97833633	0.0
1996-12-31	38.5	57.0	1.2934724	0.0
1996-12-31	38.5	57.25	0.795449	0.0
1996-12-31	38.5	57.5	1.0540662	0.0
1996-12-31	38.5	57.75	1.0540662	0.0
1996-12-31	38.5	58.0	0.26243007	0.0
1996-12-31	38.5	58.25	0.36519176	0.0
1996-12-31	38.5	58.5	0.36519176	0.0
1996-12-31	38.5	58.75	0.34465715	0.0
1996-12-31	38.5	59.0	0.39425474	0.0
1996-12-31	38.5	59.25	0.34610495	0.0
1996-12-31	38.5	59.5	0.34610495	0.0
1996-12-31	38.5	59.75	0.32230368	0.0
1996-12-31	38.5	60.0	0.43437052	0.0
1996-12-31	38.5	60.25	0.43437052	0.0
1996-12-31	38.5	60.5	0.37117735	0.0
1996-12-31	38.5	60.75	0.4160076	0.0
1996-12-31	38.5	61.0	0.3674166	0.0
1996-12-31	38.25	50.0	1.5697106	0.0
1996-12-31	38.25	50.25	1.0691977	0.0
1996-12-31	38.25	50.5	1.2246643	0.0
1996-12-31	38.25	50.75	1.2246643	0.0
1996-12-31	38.25	51.0	0.9137309	0.0
1996-12-31	38.25	51.25	0.61106074	0.0
1996-12-31	38.25	51.5	0.61106074	0.0
1996-12-31	38.25	51.75	0.5549831	0.0
1996-12-31	38.25	52.0	0.86491036	0.0
1996-12-31	38.25	52.25	0.49362633	0.0
1996-12-31	38.25	52.5	0.49362633	0.0
1996-12-31	38.25	52.75	0.4564414	0.0
1996-12-31	38.25	53.0	0.3802706	0.0
1996-12-31	38.25	53.25	0.3802706	0.0
1996-12-31	38.25	53.5	0.32066172	0.0
1996-12-31	38.25	53.75	0.5118303	0.0
1996-12-31	38.25	54.0	0.5201995	0.0
1996-12-31	38.25	54.25	0.5201995	0.0
