time	latitude	longitude	crr	spatial_ref
1996-12-31	36.0	45.0	3.5072157	0.0
1996-12-31	36.0	45.25	3.0908387	0.0
1996-12-31	36.0	45.5	2.5177689	0.0
1996-12-31	36.0	45.75	2.5177689	0.0
1996-12-31	36.0	46.0	3.0871456	0.0
1996-12-31	36.0	46.25	2.8652627	0.0
1996-12-31	36.0	46.5	2.8652627	0.0
1996-12-31	36.0	46.75	3.0568526	0.0
1996-12-31	36.0	47.0	1.782946	0.0
1996-12-31	36.0	47.25	1.8419124	0.0
1996-12-31	36.0	47.5	1.3544511	0.0
1996-12-31	36.0	47.75	1.3544511	0.0
1996-12-31	36.0	48.0	1.5127195	0.0
1996-12-31	36.0	48.25	1.8172636	0.0
1996-12-31	36.0	48.5	1.8172636	0.0
1996-12-31	36.0	48.75	1.8466433	0.0
1996-12-31	36.0	49.0	2.854764	0.0
1996-12-31	36.0	49.25	2.6759965	0.0
1996-12-31	36.0	49.5	1.3210464	0.0
1996-12-31	36.0	49.75	1.3210464	0.0
1996-12-31	36.0	50.0	2.2488294	0.0
1996-12-31	36.0	50.25	1.6488701	0.0
1996-12-31	36.0	50.5	1.2877244	0.0
1996-12-31	36.0	50.75	1.2877244	0.0
1996-12-31	36.0	51.0	1.0886233	0.0
1996-12-31	35.75	45.0	3.548173	0.0
1996-12-31	35.75	45.25	3.135074	0.0
1996-12-31	35.75	45.5	2.2973802	0.0
1996-12-31	35.75	45.75	2.2973802	0.0
1996-12-31	35.75	46.0	2.8586645	0.0
1996-12-31	35.75	46.25	2.872524	0.0
1996-12-31	35.75	46.5	2.872524	0.0
1996-12-31	35.75	46.75	2.6983216	0.0
1996-12-31	35.75	47.0	1.8819155	0.0
1996-12-31	35.75	47.25	3.1584368	0.0
1996-12-31	35.75	47.5	1.567412	0.0
1996-12-31	35.75	47.75	1.567412	0.0
1996-12-31	35.75	48.0	1.2197945	0.0
1996-12-31	35.75	48.25	1.7353077	0.0
1996-12-31	35.75	48.5	1.7353077	0.0
1996-12-31	35.75	48.75	3.3217676	0.0
1996-12-31	35.75	49.0	2.0958312	0.0
1996-12-31	35.75	49.25	2.486273	0.0
1996-12-31	35.75	49.5	3.3170784	0.0
1996-12-31	35.75	49.75	3.3170784	0.0
1996-12-31	35.75	50.0	2.384731	0.0
1996-12-31	35.75	50.25	3.204996	0.0
1996-12-31	35.75	50.5	2.2888317	0.0
1996-12-31	35.75	50.75	2.2888317	0.0
1996-12-31	35.75	51.0	1.0004429	0.0
1996-12-31	35.5	45.0	2.6876156	0.0
1996-12-31	35.5	45.25	3.420571	0.0
1996-12-31	35.5	45.5	3.1051962	0.0
1996-12-31	35.5	45.75	3.1051962	0.0
1996-12-31	35.5	46.0	2.0613472	0.0
1996-12-31	35.5	46.25	2.883355	0.0
1996-12-31	35.5	46.5	2.883355	0.0
1996-12-31	35.5	46.75	2.1175337	0.0
1996-12-31	35.5	47.0	1.7060109	0.0
1996-12-31	35.5	47.25	1.8976012	0.0
1996-12-31	35.5	47.5	2.1550465	0.0
1996-12-31	35.5	47.75	2.1550465	0.0
1996-12-31	35.5	48.0	2.3328185	0.0
1996-12-31	35.5	48.25	3.0430343	0.0
1996-12-31	35.5	48.5	3.0430343	0.0
1996-12-31	35.5	48.75	1.4747086	0.0
1996-12-31	35.5	49.0	2.7928507	0.0
1996-12-31	35.5	49.25	3.4826088	0.0
1996-12-31	35.5	49.5	4.1201634	0.0
1996-12-31	35.5	49.75	4.1201634	0.0
1996-12-31	35.5	50.0	3.9911091	0.0
1996-12-31	35.5	50.25	3.593612	0.0
1996-12-31	35.5	50.5	2.0541267	0.0
1996-12-31	35.5	50.75	2.0541267	0.0
1996-12-31	35.5	51.0	2.0595214	0.0
1996-12-31	35.25	45.0	3.012119	0.0
1996-12-31	35.25	45.25	3.7249496	0.0
1996-12-31	35.25	45.5	4.0696626	0.0
1996-12-31	35.25	45.75	4.0696626	0.0
1996-12-31	35.25	46.0	3.3961296	0.0
1996-12-31	35.25	46.25	2.7595708	0.0
1996-12-31	35.25	46.5	2.7595708	0.0
1996-12-31	35.25	46.75	2.583915	0.0
1996-12-31	35.25	47.0	1.6242627	0.0
1996-12-31	35.25	47.25	1.6625224	0.0
1996-12-31	35.25	47.5	1.6031407	0.0
1996-12-31	35.25	47.75	1.6031407	0.0
1996-12-31	35.25	48.0	1.0352587	0.0
1996-12-31	35.25	48.25	1.8741971	0.0
1996-12-31	35.25	48.5	1.8741971	0.0
1996-12-31	35.25	48.75	1.4849167	0.0
1996-12-31	35.25	49.0	1.3882293	0.0
1996-12-31	35.25	49.25	0.8783183	0.0
1996-12-31	35.25	49.5	2.178202	0.0
1996-12-31	35.25	49.75	2.178202	0.0
1996-12-31	35.25	50.0	3.6744893	0.0
1996-12-31	35.25	50.25	1.5177407	0.0
1996-12-31	35.25	50.5	1.5177407	0.0
1996-12-31	35.25	50.75	1.4326724	0.0
1996-12-31	35.25	51.0	1.3934995	0.0
1996-12-31	35.0	45.0	2.7652133	0.0
1996-12-31	35.0	45.25	3.2949193	0.0
1996-12-31	35.0	45.5	2.888708	0.0
1996-12-31	35.0	45.75	2.888708	0.0
1996-12-31	35.0	46.0	3.5024853	0.0
1996-12-31	35.0	46.25	2.579931	0.0
1996-12-31	35.0	46.5	2.579931	0.0
1996-12-31	35.0	46.75	3.5103695	0.0
1996-12-31	35.0	47.0	1.7672185	0.0
1996-12-31	35.0	47.25	3.519997	0.0
1996-12-31	35.0	47.5	3.2252462	0.0
1996-12-31	35.0	47.75	3.2252462	0.0
1996-12-31	35.0	48.0	2.3986735	0.0
1996-12-31	35.0	48.25	1.8183011	0.0
1996-12-31	35.0	48.5	1.8183011	0.0
1996-12-31	35.0	48.75	1.2259358	0.0
1996-12-31	35.0	49.0	1.117505	0.0
1996-12-31	35.0	49.25	1.5018473	0.0
1996-12-31	35.0	49.5	1.7409099	0.0
1996-12-31	35.0	49.75	1.7409099	0.0
1996-12-31	35.0	50.0	1.0260464	0.0
1996-12-31	35.0	50.25	1.512844	0.0
1996-12-31	35.0	50.5	1.4337097	0.0
1996-12-31	35.0	50.75	1.4337097	0.0
1996-12-31	35.0	51.0	1.5451283	0.0
1996-12-31	34.75	45.0	3.430074	0.0
1996-12-31	34.75	45.25	3.196656	0.0
1996-12-31	34.75	45.5	2.6731327	0.0
1996-12-31	34.75	45.75	2.6731327	0.0
1996-12-31	34.75	46.0	3.125447	0.0
1996-12-31	34.75	46.25	2.5047803	0.0
1996-12-31	34.75	46.5	2.5047803	0.0
1996-12-31	34.75	46.75	2.4201276	0.0
1996-12-31	34.75	47.0	2.0227137	0.0
1996-12-31	34.75	47.25	1.5956715	0.0
1996-12-31	34.75	47.5	1.9379773	0.0
1996-12-31	34.75	47.75	1.9379773	0.0
1996-12-31	34.75	48.0	2.2750552	0.0
1996-12-31	34.75	48.25	1.7475492	0.0
1996-12-31	34.75	48.5	1.7475492	0.0
1996-12-31	34.75	48.75	1.6777931	0.0
1996-12-31	34.75	49.0	0.96193403	0.0
1996-12-31	34.75	49.25	2.2526057	0.0
1996-12-31	34.75	49.5	1.6250511	0.0
1996-12-31	34.75	49.75	1.6250511	0.0
1996-12-31	34.75	50.0	3.2674901	0.0
1996-12-31	34.75	50.25	2.769945	0.0
1996-12-31	34.75	50.5	2.769945	0.0
1996-12-31	34.75	50.75	1.1956433	0.0
1996-12-31	34.75	51.0	1.1350167	0.0
1996-12-31	34.5	45.0	4.2674356	0.0
1996-12-31	34.5	45.25	3.999367	0.0
1996-12-31	34.5	45.5	3.1473987	0.0
1996-12-31	34.5	45.75	3.1473987	0.0
1996-12-31	34.5	46.0	3.2098923	0.0
1996-12-31	34.5	46.25	3.2940896	0.0
1996-12-31	34.5	46.5	3.2940896	0.0
1996-12-31	34.5	46.75	2.346471	0.0
1996-12-31	34.5	47.0	2.3685057	0.0
1996-12-31	34.5	47.25	1.7969303	0.0
1996-12-31	34.5	47.5	2.9639416	0.0
1996-12-31	34.5	47.75	2.9639416	0.0
1996-12-31	34.5	48.0	1.4506402	0.0
1996-12-31	34.5	48.25	0.98525494	0.0
1996-12-31	34.5	48.5	0.98525494	0.0
1996-12-31	34.5	48.75	1.0982505	0.0
1996-12-31	34.5	49.0	1.3065225	0.0
1996-12-31	34.5	49.25	1.3005469	0.0
1996-12-31	34.5	49.5	2.0484831	0.0
1996-12-31	34.5	49.75	2.0484831	0.0
1996-12-31	34.5	50.0	1.53824	0.0
1996-12-31	34.5	50.25	2.6282337	0.0
1996-12-31	34.5	50.5	1.2008303	0.0
1996-12-31	34.5	50.75	1.2008303	0.0
1996-12-31	34.5	51.0	2.104296	0.0
1996-12-31	34.25	45.0	3.7425444	0.0
1996-12-31	34.25	45.25	3.7425444	0.0
