time	latitude	longitude	crr	spatial_ref
1996-12-31	39.0	50.0	2.3460119	0.0
1996-12-31	39.0	50.25	0.870375	0.0
1996-12-31	39.0	50.5	0.5459339	0.0
1996-12-31	39.0	50.75	0.5459339	0.0
1996-12-31	39.0	51.0	0.39339396	0.0
1996-12-31	39.0	51.25	0.39172533	0.0
1996-12-31	39.0	51.5	0.39172533	0.0
1996-12-31	39.0	51.75	0.46291697	0.0
1996-12-31	39.0	52.0	0.46810815	0.0
1996-12-31	39.0	52.25	0.3539842	0.0
1996-12-31	39.0	52.5	0.3539842	0.0
1996-12-31	39.0	52.75	0.24039018	0.0
1996-12-31	39.0	53.0	0.39251983	0.0
1996-12-31	39.0	53.25	0.39251983	0.0
1996-12-31	39.0	53.5	0.24920963	0.0
1996-12-31	39.0	53.75	0.34917715	0.0
1996-12-31	39.0	54.0	0.24039018	0.0
1996-12-31	39.0	54.25	0.24039018	0.0
1996-12-31	39.0	54.5	0.4061464	0.0
1996-12-31	39.0	54.75	0.5679696	0.0
1996-12-31	39.0	55.0	0.5679696	0.0
1996-12-31	39.0	55.25	0.4968176	0.0
1996-12-31	39.0	55.5	0.66928774	0.0
1996-12-31	39.0	55.75	0.45678556	0.0
1996-12-31	39.0	56.0	0.45678556	0.0
1996-12-31	39.0	56.25	0.5489004	0.0
1996-12-31	39.0	56.5	0.42706954	0.0
1996-12-31	39.0	56.75	0.42706954	0.0
1996-12-31	39.0	57.0	0.33549777	0.0
1996-12-31	39.0	57.25	0.34761444	0.0
1996-12-31	39.0	57.5	0.32372513	0.0
1996-12-31	39.0	57.75	0.32372513	0.0
1996-12-31	39.0	58.0	0.45109138	0.0
1996-12-31	39.0	58.25	0.39234766	0.0
1996-12-31	39.0	58.5	0.39234766	0.0
1996-12-31	39.0	58.75	0.48447573	0.0
1996-12-31	39.0	59.0	0.45657387	0.0
1996-12-31	39.0	59.25	0.35399744	0.0
1996-12-31	39.0	59.5	0.35399744	0.0
1996-12-31	39.0	59.75	0.50889486	0.0
1996-12-31	39.0	60.0	0.32159305	0.0
1996-12-31	39.0	60.25	0.32159305	0.0
1996-12-31	39.0	60.5	0.25437418	0.0
1996-12-31	39.0	60.75	0.1646166	0.0
1996-12-31	39.0	61.0	0.19924569	0.0
1996-12-31	38.75	50.0	0.9247486	0.0
1996-12-31	38.75	50.25	1.2680598	0.0
1996-12-31	38.75	50.5	0.9188822	0.0
1996-12-31	38.75	50.75	0.9188822	0.0
1996-12-31	38.75	51.0	0.37841654	0.0
1996-12-31	38.75	51.25	0.36130735	0.0
1996-12-31	38.75	51.5	0.36130735	0.0
1996-12-31	38.75	51.75	0.37036535	0.0
1996-12-31	38.75	52.0	0.5709889	0.0
1996-12-31	38.75	52.25	0.36885574	0.0
1996-12-31	38.75	52.5	0.36885574	0.0
1996-12-31	38.75	52.75	0.54729813	0.0
1996-12-31	38.75	53.0	0.26129997	0.0
1996-12-31	38.75	53.25	0.26129997	0.0
1996-12-31	38.75	53.5	0.22276445	0.0
1996-12-31	38.75	53.75	0.41444936	0.0
1996-12-31	38.75	54.0	0.43149254	0.0
1996-12-31	38.75	54.25	0.43149254	0.0
1996-12-31	38.75	54.5	0.6971367	0.0
1996-12-31	38.75	54.75	0.60694224	0.0
1996-12-31	38.75	55.0	0.60694224	0.0
1996-12-31	38.75	55.25	0.37456298	0.0
1996-12-31	38.75	55.5	1.1804477	0.0
1996-12-31	38.75	55.75	1.031536	0.0
1996-12-31	38.75	56.0	1.031536	0.0
1996-12-31	38.75	56.25	0.49222258	0.0
1996-12-31	38.75	56.5	0.32736704	0.0
1996-12-31	38.75	56.75	0.32736704	0.0
1996-12-31	38.75	57.0	0.96854156	0.0
