time	crr	spatial_ref
1996-12-31	2.472345	0.0
1997-12-31	2.5444589	0.0
1998-12-31	1.9521537	0.0
1999-12-31	1.7645491	0.0
2000-12-31	2.2130916	0.0
2001-12-31	2.353215	0.0
2002-12-31	2.4093711	0.0
2003-12-31	2.3482745	0.0
2004-12-31	2.5201285	0.0
2005-12-31	2.464771	0.0
2006-12-31	2.2275689	0.0
2007-12-31	2.221608	0.0
2008-12-31	1.6810852	0.0
2009-12-31	2.191055	0.0
2010-12-31	1.8207568	0.0
2011-12-31	2.3752677	0.0
2012-12-31	2.4698324	0.0
2013-12-31	2.7195375	0.0
2014-12-31	2.3706303	0.0
2015-12-31	3.1409483	0.0
2016-12-31	2.5494945	0.0
2017-12-31	2.2178361	0.0
2018-12-31	3.0907733	0.0
2019-12-31	3.0700963	0.0
2020-12-31	2.7093344	0.0
2021-12-31	1.4718881	0.0
2022-12-31	1.8327848	0.0
2023-12-31	2.3879197	0.0
