time	crr	spatial_ref
1996-12-31	2.9023762	0.0
1997-12-31	3.3962662	0.0
1998-12-31	2.2706845	0.0
1999-12-31	2.220893	0.0
2000-12-31	2.5164773	0.0
2001-12-31	2.8063834	0.0
2002-12-31	2.6049306	0.0
2003-12-31	2.6197698	0.0
2004-12-31	3.0247443	0.0
2005-12-31	2.6554081	0.0
2006-12-31	2.6893098	0.0
2007-12-31	2.7393262	0.0
2008-12-31	2.3839595	0.0
2009-12-31	2.6410792	0.0
2010-12-31	2.4437506	0.0
2011-12-31	2.728871	0.0
2012-12-31	2.9589255	0.0
2013-12-31	3.2353833	0.0
2014-12-31	2.7552536	0.0
2015-12-31	3.3869994	0.0
2016-12-31	2.9305134	0.0
2017-12-31	2.6678152	0.0
2018-12-31	3.7289515	0.0
2019-12-31	3.3167093	0.0
2020-12-31	3.0887249	0.0
2021-12-31	1.9320108	0.0
2022-12-31	2.4626896	0.0
2023-12-31	2.9610398	0.0
