time	crr	spatial_ref
1996-12-31	1.6393071	0.0
1997-12-31	1.4337281	0.0
1998-12-31	1.5144094	0.0
1999-12-31	1.4465657	0.0
2000-12-31	1.1641446	0.0
2001-12-31	1.1334132	0.0
2002-12-31	1.4089608	0.0
2003-12-31	1.4475108	0.0
2004-12-31	1.4976354	0.0
2005-12-31	1.4202825	0.0
2006-12-31	1.2758116	0.0
2007-12-31	1.4210268	0.0
2008-12-31	1.0723437	0.0
2009-12-31	1.6958984	0.0
2010-12-31	1.2193354	0.0
2011-12-31	1.5321549	0.0
2012-12-31	1.3488932	0.0
2013-12-31	1.3368195	0.0
2014-12-31	1.3924984	0.0
2015-12-31	1.4361802	0.0
2016-12-31	1.3489558	0.0
2017-12-31	1.5486487	0.0
2018-12-31	1.3533634	0.0
2019-12-31	1.8260092	0.0
2020-12-31	1.8010463	0.0
2021-12-31	1.1203136	0.0
2022-12-31	1.6819367	0.0
2023-12-31	1.17741	0.0
