time	crr	spatial_ref
1996-12-31	1.5130903	0.0
1997-12-31	1.5744911	0.0
1998-12-31	1.1703373	0.0
1999-12-31	1.0752045	0.0
2000-12-31	1.3105177	0.0
2001-12-31	1.4385743	0.0
2002-12-31	1.4343433	0.0
2003-12-31	1.4321533	0.0
2004-12-31	1.5414525	0.0
2005-12-31	1.4775547	0.0
2006-12-31	1.3514061	0.0
2007-12-31	1.3455787	0.0
2008-12-31	1.0518175	0.0
2009-12-31	1.314071	0.0
2010-12-31	1.1211505	0.0
2011-12-31	1.4271262	0.0
2012-12-31	1.505423	0.0
2013-12-31	1.6086656	0.0
2014-12-31	1.4311538	0.0
2015-12-31	1.8351936	0.0
2016-12-31	1.4856379	0.0
2017-12-31	1.3454237	0.0
2018-12-31	1.8498702	0.0
2019-12-31	1.8110915	0.0
2020-12-31	1.6350127	0.0
2021-12-31	0.9077001	0.0
2022-12-31	1.1235723	0.0
2023-12-31	1.447825	0.0
