time	crr	spatial_ref
1996-12-31	1.0066549	0.0
1997-12-31	0.8832056	0.0
1998-12-31	0.9320309	0.0
1999-12-31	0.8862094	0.0
2000-12-31	0.7209976	0.0
2001-12-31	0.71124655	0.0
2002-12-31	0.8598701	0.0
2003-12-31	0.87550575	0.0
2004-12-31	0.9190645	0.0
2005-12-31	0.8655782	0.0
2006-12-31	0.789735	0.0
2007-12-31	0.8894397	0.0
2008-12-31	0.660613	0.0
2009-12-31	1.0474039	0.0
2010-12-31	0.759283	0.0
2011-12-31	0.9233	0.0
2012-12-31	0.8269877	0.0
2013-12-31	0.8110037	0.0
2014-12-31	0.85515046	0.0
2015-12-31	0.88035065	0.0
2016-12-31	0.8406091	0.0
2017-12-31	0.93594605	0.0
2018-12-31	0.8430471	0.0
2019-12-31	1.0996572	0.0
2020-12-31	1.0970434	0.0
2021-12-31	0.69386697	0.0
2022-12-31	1.0183127	0.0
2023-12-31	0.73210925	0.0
